,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
234419,Rafa Jerzy Sznajder,M,23.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's Sabre, Team",
234420,Rafa Jerzy Sznajder,M,27.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's Sabre, Individual",
234421,Rafa Jerzy Sznajder,M,27.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's Sabre, Team",
234422,Rafa Jerzy Sznajder,M,31.0,Poland,POL,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",
234423,Aleksander Bronisaw Szniolis,M,44.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",
234446,Engelbert Henryk Szolc,M,29.0,Poland,POL,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,
234486,Henryk Jan Szordykowski,M,24.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,
234487,Henryk Jan Szordykowski,M,24.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 1,500 metres",
234488,Henryk Jan Szordykowski,M,28.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",
234490,Kazimierz Szosland,M,33.0,Poland,POL,1924 Summer,1924,Summer,Paris,Equestrianism,"Equestrianism Men's Jumping, Individual",
234491,Kazimierz Szosland,M,33.0,Poland,POL,1924 Summer,1924,Summer,Paris,Equestrianism,"Equestrianism Men's Jumping, Team",
234492,Kazimierz Szosland,M,33.0,Poland,POL,1924 Summer,1924,Summer,Paris,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",
234493,Kazimierz Szosland,M,33.0,Poland,POL,1924 Summer,1924,Summer,Paris,Equestrianism,"Equestrianism Men's Three-Day Event, Team",
234494,Kazimierz Szosland,M,37.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Jumping, Individual",
234495,Kazimierz Szosland,M,37.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Jumping, Team",Silver
234496,Jadwiga Szosler-Wilejto,F,23.0,Poland,POL,1972 Summer,1972,Summer,Munich,Archery,Archery Women's Individual,
234497,Jadwiga Szosler-Wilejto,F,27.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Archery,Archery Women's Individual,
234498,Jadwiga Szosler-Wilejto,F,31.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Archery,Archery Women's Individual,
234499,Henryk Jzef Szost,M,26.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,
234500,Henryk Jzef Szost,M,30.0,Poland,POL,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Marathon,
234501,Henryk Jzef Szost,M,34.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,
234502,Edward Szostak,M,24.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,
