,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
115085,Stanisaw Kamierczak,M,22.0,Poland,POL,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,
115092,Jzef Ignacy Kaua,M,28.0,Poland,POL,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,
115093,Alfred Jzef Kauziski,M,23.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Handball,Handball Men's Handball,Bronze
115094,Alfred Jzef Kauziski,M,27.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,
115203,Piotr Kdzia,M,24.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,
115265,Marian Kegel,M,23.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's Road Race, Individual",
115266,Marian Kegel,M,23.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,
115730,Magdalena Kemnitz,F,19.0,Poland,POL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Lightweight Double Sculls,
115830,Antoni Karol Kenar,M,25.0,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",
115831,Antoni Karol Kenar,M,25.0,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",
115832,Antoni Karol Kenar,M,41.0,Poland,POL,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",
117680,Zbigniew Kicka,M,26.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Welterweight,
117784,Ireneusz Kiejda,M,24.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Extra-Lightweight,
117787,Urszula Kielan (-Lipiec),F,19.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's High Jump,Silver
117788,Jan Kielas,M,36.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Athletics,"Athletics Men's 3,000 metres Steeplechase",
117828,Krzysztof Hubert Kierkowski,M,23.0,Poland,POL,2004 Summer,2004,Summer,Athina,Sailing,Sailing Mixed Skiff,
117829,Krzysztof Hubert Kierkowski,M,27.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Skiff,
117841,Roman Kierpacz,M,19.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",
117842,Roman Kierpacz,M,27.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",
117843,Janusz Kazimierz Kierzkowski,M,21.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze
117844,Janusz Kazimierz Kierzkowski,M,21.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",
117845,Janusz Kazimierz Kierzkowski,M,25.0,Poland,POL,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's 1,000 metres Time Trial",
117846,Janusz Kazimierz Kierzkowski,M,25.0,Poland,POL,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",
117847,Janusz Kazimierz Kierzkowski,M,29.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's 1,000 metres Time Trial",
117881,Anna Katarzyna Kiebasiska,F,22.0,Poland,POL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 200 metres,
117882,Anna Katarzyna Kiebasiska,F,26.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,
117883,Anna Katarzyna Kiebasiska,F,26.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,
117884,Piotr Andrzej Kiepikowski,M,25.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Team",
117885,Piotr Andrzej Kiepikowski,M,25.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's epee, Team",
117886,Piotr Andrzej Kiepikowski,M,29.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Foil, Individual",
117887,Piotr Andrzej Kiepikowski,M,29.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Foil, Team",Bronze
117888,Piotr Andrzej Kiepikowski,M,33.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's Foil, Individual",
117889,Piotr Andrzej Kiepikowski,M,33.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's Foil, Team",Silver
117894,Grzegorz Kiesa,M,30.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Super-Heavyweight,
117895,Wiesawa Bogna Kiesznia (-Buksiska),F,19.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,
117929,Eugeniusz Kijewski,M,25.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball,
118051,Grzegorz Kiljanek,M,27.0,Poland,POL,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Singles, Slalom",
118095,Gertruda Kiloswna (-Czorny),F,15.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's 800 metres,
119649,Lucjan Kintopf,M,38.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Painting, Applied Arts",
120170,Jarosaw Kisiel,M,28.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",
120171,Walerian Kisieliski,M,29.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Football,Football Men's Football,
120285,Emil Kiszka,M,25.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,
120286,Emil Kiszka,M,25.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,
120287,Jzef Kiszkurno,M,57.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Shooting,Shooting Men's Trap,
120288,Zygmunt Kiszkurno,M,35.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Shooting,Shooting Men's Trap,
120469,"Bartoomiej ""Bartosz"" Kizierowski",M,19.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,
120470,"Bartoomiej ""Bartosz"" Kizierowski",M,19.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,
120471,"Bartoomiej ""Bartosz"" Kizierowski",M,19.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
120472,"Bartoomiej ""Bartosz"" Kizierowski",M,23.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,
120473,"Bartoomiej ""Bartosz"" Kizierowski",M,23.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Freestyle,
120474,"Bartoomiej ""Bartosz"" Kizierowski",M,23.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Backstroke,
120475,"Bartoomiej ""Bartosz"" Kizierowski",M,27.0,Poland,POL,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle,
120476,"Bartoomiej ""Bartosz"" Kizierowski",M,31.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,
120675,Katarzyna Klata (-Kowalska),F,23.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Archery,Archery Women's Individual,
120676,Katarzyna Klata (-Kowalska),F,23.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Archery,Archery Women's Team,Bronze
120918,Aleksandra Jadwiga Klejnowska-Krzywaska,F,17.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Women's Lightweight,
120919,Aleksandra Jadwiga Klejnowska-Krzywaska,F,21.0,Poland,POL,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Lightweight,
120920,Aleksandra Jadwiga Klejnowska-Krzywaska,F,25.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Lightweight,
120921,Aleksandra Jadwiga Klejnowska-Krzywaska,F,29.0,Poland,POL,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Featherweight,
120969,Jerzy Klempel,M,23.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Handball,Handball Men's Handball,Bronze
120970,Jerzy Klempel,M,27.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,
120973,Dorota Monika Klencz (-Szymura),F,17.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Individual All-Around,
120974,Dorota Monika Klencz (-Szymura),F,17.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,
120975,Dorota Monika Klencz (-Szymura),F,17.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Floor Exercise,
120976,Dorota Monika Klencz (-Szymura),F,17.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Horse Vault,
120977,Dorota Monika Klencz (-Szymura),F,17.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Uneven Bars,
120978,Dorota Monika Klencz (-Szymura),F,17.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Balance Beam,
121012,Grzegorz Witold Kleszcz,M,22.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Heavyweight,
121013,Grzegorz Witold Kleszcz,M,26.0,Poland,POL,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Super-Heavyweight,
121014,Grzegorz Witold Kleszcz,M,30.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Super-Heavyweight,
121044,Kacper Fabian Klich,M,21.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
121095,"Jadwiga Jzefa Klimaj (Konik-, -Kowalczuk)",F,28.0,Poland,POL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's Shot Put,
121097,Andrzej Klimaszewski,M,20.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,
121098,Andrzej Aleksander Klimaszewski,M,25.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",
121100,Piotr Arkadiusz Klimczak,M,24.0,Poland,POL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,
121101,Piotr Arkadiusz Klimczak,M,24.0,Poland,POL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,
121102,Piotr Arkadiusz Klimczak,M,28.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,
121103,Mariusz Klimczyk,M,23.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Pole Vault,
121302,Ewelina Klocek-Ptak,F,21.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay,
121303,Ewelina Klocek-Ptak,F,25.0,Poland,POL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,
121391,Ireneusz Kluczek,M,24.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres,
121392,Ireneusz Kluczek,M,24.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,
121393,Janina Anna Klucznik,F,26.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Double Sculls,
121420,Jzef Klukowski,M,38.0,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Medals And Reliefs",Gold
121421,Jzef Klukowski,M,38.0,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",
121422,Jzef Klukowski,M,42.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",
121423,Jzef Klukowski,M,42.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Sculpturing, Reliefs",Silver
121424,Jzef Ireneusz Klukowski,M,22.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Breaststroke,
121425,Jzef Ireneusz Klukowski,M,22.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Breaststroke,
121459,Aleksander Dominik Kak,M,21.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver
121460,Ewa Kobukowska,F,18.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 100 metres,Bronze
121461,Ewa Kobukowska,F,18.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
121462,Aleksander Lech Kopotowski,M,32.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",
121463,Andrzej Jzef Kopotowski,M,25.0,Poland,POL,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 200 metres Breaststroke,
121464,Karol Kos,M,26.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,
121465,Stanisaw Kosowicz,M,25.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Road Race, Individual",
121466,Stanisaw Kosowicz,M,25.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Road Race, Team",
121475,Kazimierz Kmiecik,M,20.0,Poland,POL,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,Gold
121476,Kazimierz Kmiecik,M,24.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,Silver
121497,Bogusawa Knapczyk,F,22.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Singles, Slalom",
121498,Bogusawa Knapczyk,F,26.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, Slalom",
121512,Wojciech Micha Knapik,M,24.0,Poland,POL,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Air Pistol, 10 metres",
121513,Wojciech Micha Knapik,M,24.0,Poland,POL,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Free Pistol, 50 metres",
121514,Wojciech Micha Knapik,M,28.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Air Pistol, 10 metres",
121515,Wojciech Micha Knapik,M,28.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Free Pistol, 50 metres",
121670,Bernard Knitter,M,22.0,Poland,POL,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",
121671,Bernard Knitter,M,26.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",
122051,"Genowefa Kobielska (-Cejzikowa, -Zimnochova)",F,22.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's Discus Throw,
122053,Marcin Kobierski,M,19.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",
122089,Agnieszka Kobus,F,25.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Bronze
122093,Andrzej Kobylaski,M,21.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver
122094,Maria Kobyliska (-Rogaczewska),F,20.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,
122095,Andrzej Jzef Kobyliski,M,28.0,Poland,POL,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",
122096,Andrzej Jzef Kobyliski,M,28.0,Poland,POL,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",
122097,Edward Kobyliski Prus,M,24.0,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Fours,Bronze
122098,Edward Kobyliski Prus,M,28.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxless Pairs,
122125,Teodor Kocerka,M,24.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Single Sculls,Bronze
122126,Teodor Kocerka,M,29.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Single Sculls,
122127,Teodor Kocerka,M,33.0,Poland,POL,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Single Sculls,Bronze
122276,Joanna Henryka Kocielnik,F,25.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay,
122299,Benedykt Kocot,M,18.0,Poland,POL,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's Sprint,
122300,Benedykt Kocot,M,18.0,Poland,POL,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
122301,Benedykt Kocot,M,22.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Cycling,Cycling Men's Sprint,
122302,Benedykt Kocot,M,26.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's Sprint,
122359,Eugeniusz Szczepan Koczorski,M,31.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
122360,Eugeniusz Szczepan Koczorski,M,31.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
122677,Sawomir Kohut,M,26.0,Poland,POL,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Road Race, Individual",
122678,Sawomir Kohut,M,26.0,Poland,POL,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Individual Time Trial,
122906,Adam Kolasa,M,29.0,Poland,POL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Pole Vault,
122908,Marian Kolasa,M,29.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Pole Vault,
122934,Marek Antoni Kolbowicz,M,25.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Quadruple Sculls,
122935,Marek Antoni Kolbowicz,M,29.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Double Sculls,
122936,Marek Antoni Kolbowicz,M,33.0,Poland,POL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Quadruple Sculls,
122937,Marek Antoni Kolbowicz,M,37.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Gold
122938,Marek Antoni Kolbowicz,M,41.0,Poland,POL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Quadruple Sculls,
122963,Antoni Kolczyski,M,30.0,Poland,POL,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Middleweight,
123209,Pawe Koodziski,M,24.0,Poland,POL,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Skiff,
123210,Pawe Koodziski,M,28.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Skiff,
123310,Wadysaw Komar,M,24.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Shot Put,
123311,Wadysaw Komar,M,28.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Shot Put,
123312,Wadysaw Komar,M,32.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Shot Put,Gold
123381,Dagmara Katarzyna Komorowicz,F,17.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,
123382,Janusz Komorowski,M,30.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Jumping, Individual",
123383,Janusz Komorowski,M,30.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Jumping, Team",
123384,Tadeusz Marian Komorowski,M,28.0,Poland,POL,1924 Summer,1924,Summer,Paris,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",
123385,Tadeusz Marian Komorowski,M,28.0,Poland,POL,1924 Summer,1924,Summer,Paris,Equestrianism,"Equestrianism Men's Three-Day Event, Team",
123426,Janina Konarska-Sonimska (Seideman-),F,32.0,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Silver
123427,Janina Konarska-Sonimska (Seideman-),F,32.0,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",
123428,Dawid Konarski,M,26.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,
123429,Tomasz Konarzewski,M,19.0,Poland,POL,1924 Summer,1924,Summer,Paris,Boxing,Boxing Men's Heavyweight,
123436,Wiesaw Koczak,M,28.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Bantamweight, Freestyle",
123489,Micha Kondracki,M,29.0,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Art Competitions,Art Competitions Mixed Music,
123670,Marcin Krzysztof Koniusz,M,24.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Individual",
123672,Danuta Daniela Konkalec (-Stoek),F,20.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Eights,
123734,"Halina (Leonarda Kazimiera-) Konopacka (-Matuszewska, -Szczerbiska, -Stowe)",F,28.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's Discus Throw,Gold
123741,Andrzej Marceli Konopka,M,25.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Individual All-Around,
123742,Andrzej Marceli Konopka,M,25.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Team All-Around,
123743,Andrzej Marceli Konopka,M,25.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Floor Exercise,
123744,Andrzej Marceli Konopka,M,25.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Horse Vault,
123745,Andrzej Marceli Konopka,M,25.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Parallel Bars,
123746,Andrzej Marceli Konopka,M,25.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Horizontal Bar,
123747,Andrzej Marceli Konopka,M,25.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Rings,
123748,Andrzej Marceli Konopka,M,25.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Pommelled Horse,
123749,Andrzej Marceli Konopka,M,30.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Individual All-Around,
123750,Andrzej Marceli Konopka,M,30.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,
123751,Andrzej Marceli Konopka,M,30.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Floor Exercise,
123752,Andrzej Marceli Konopka,M,30.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horse Vault,
123753,Andrzej Marceli Konopka,M,30.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Parallel Bars,
123754,Andrzej Marceli Konopka,M,30.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horizontal Bar,
123755,Andrzej Marceli Konopka,M,30.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Rings,
123756,Andrzej Marceli Konopka,M,30.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Pommelled Horse,
123762,Klaudia Konopko,F,24.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,
123908,Marek Konwa,M,22.0,Poland,POL,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Mountainbike, Cross-Country",
124028,Jerzy Kopaski,M,31.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
124071,Jakub Jzef Kopowski (Kopf),M,21.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,
124152,Malwina Kopron,F,21.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Hammer Throw,
124153,Franciszek Koprowski,M,32.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Modern Pentathlon,Modern Pentathlon Men's Individual,
124165,Jan Antoni Kopyto,M,22.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Javelin Throw,
124185,Roman Korban,M,25.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 800 metres,
124214,Agata Ewa Korc,F,22.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,
124215,Agata Ewa Korc,F,22.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Freestyle,
124221,Aleksander Korcz,M,25.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,
124222,Grzegorz Henryk Korcz,M,22.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,
124223,Grzegorz Henryk Korcz,M,25.0,Poland,POL,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,
124224,Waldemar Jerzy Korcz,M,23.0,Poland,POL,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Flyweight,
124225,Daria Korczyska (Onysko-),F,27.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,
124226,Daria Korczyska (Onysko-),F,27.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay,
124227,Daria Korczyska (Onysko-),F,30.0,Poland,POL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,
124228,Danuta Kordaczuk-Wagner,F,25.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Bronze
