,Index,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
157,15600,Paulina Barzycka,F,22.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
158,15682,Andrzej Jzef Basik,M,28.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Heavyweight,
159,15767,Piotr Basta,M,21.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,
160,15768,Piotr Basta,M,25.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Fours,
161,15769,Piotr Basta,M,29.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Pairs,
162,15807,Waldemar Romuald Baszanowski,M,25.0,Poland,POL,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Lightweight,
163,15808,Waldemar Romuald Baszanowski,M,29.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Lightweight,Gold
164,15809,Waldemar Romuald Baszanowski,M,33.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Lightweight,Gold
165,15810,Waldemar Romuald Baszanowski,M,37.0,Poland,POL,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Lightweight,
166,15985,Mieczysaw Jzef Batsch,M,24.0,Poland,POL,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,
167,16323,Pawe Zbigniew Baumann,M,21.0,Poland,POL,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",
168,16324,Pawe Zbigniew Baumann,M,25.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
169,16361,Iga Baumgart,F,23.0,Poland,POL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,
170,16362,Iga Baumgart,F,27.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,
171,16682,Antoni Bazaniak,M,20.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",
172,16702,Wawrzyniec Bazarnik,M,21.0,Poland,POL,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Bantamweight,
173,16997,Bronisaw Bebel,M,23.0,Poland,POL,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Men's Volleyball,
174,16998,Bronisaw Bebel,M,27.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,Gold
175,16999,Jolanta Krystyna Bebel-Rzymowska (-Kolik),F,21.0,Poland,POL,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Women's Foil, Team",
176,17000,Jolanta Krystyna Bebel-Rzymowska (-Kolik),F,25.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Women's Foil, Team",
177,17015,Leszek Bebo,M,26.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,
178,17016,Leszek Bebo,M,30.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,
179,17142,Krzysztof Juliusz Beck,M,26.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Middleweight,
180,17143,Krzysztof Juliusz Beck,M,30.0,Poland,POL,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middleweight,
181,17441,Eugeniusz Bedeniczuk,M,31.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Triple Jump,
182,17469,Agnieszka Bednarek (-Kasza),F,22.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,
183,17470,Jacek Bednarek,M,24.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 50 kilometres Walk,
184,17471,Sylwester Bednarek,M,27.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,
185,17476,Bartosz Bednorz,M,22.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,
186,17594,Zenon Begier,M,24.0,Poland,POL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Discus Throw,
187,17595,Zenon Begier,M,28.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Discus Throw,
188,17827,Monika Joanna Bejnar,F,23.0,Poland,POL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,
189,17828,Monika Joanna Bejnar,F,27.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres,
190,17829,Monika Joanna Bejnar,F,27.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,
191,17831,Andrzej Bek,M,21.0,Poland,POL,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's Sprint,
192,17832,Andrzej Bek,M,21.0,Poland,POL,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
193,17861,Jzef Beker,M,27.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Cycling,Cycling Men's 100 kilometres Team Time Trial,
194,18856,Brunon Bendig,M,21.0,Poland,POL,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Bantamweight,Bronze
195,18857,Brunon Bendig,M,26.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Bantamweight,
196,19094,Jan Janusz Benigier,M,26.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,Silver
197,20328,Miosz Bernatajtys,M,26.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
198,20329,Miosz Bernatajtys,M,30.0,Poland,POL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,
199,20889,Wadysaw Beszterda,M,28.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Eights,
200,21017,Jacek Beutler,M,24.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Heavyweight,
201,21382,Czesaw Gerwazy Biaas,M,21.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Light-Heavyweight,
202,21383,Czesaw Gerwazy Biaas,M,25.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Middle-Heavyweight,
203,21384,Czesaw Gerwazy Biaas,M,29.0,Poland,POL,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middle-Heavyweight,
204,21385,Magdalena Beata Biaas (-Sarna),F,17.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Backstroke,
205,21386,Magdalena Beata Biaas (-Sarna),F,17.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 400 metres Individual Medley,
206,21387,Magorzata Biaecka,F,28.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Windsurfer,
207,21388,Eliza Biakowska,F,15.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,
